('Total Revenue', '408,625,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         876947 function calls (852433 primitive calls) in 2.970 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 _adapters.py:149(_native)
        1    0.000    0.000    0.002    0.002 _adapters.py:144(_reader)
     2645    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1192(get_resource_reader)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _ssl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 memory.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _urlparse.py:1(<module>)
      340    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      369    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.002    0.002 _types.py:1(<module>)
      148    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     3396    0.001    0.000    0.002    0.000 filter.py:715(matches_any_string_rule)
      295    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pretty.py:1(<module>)
       25    0.000    0.000    0.002    0.000 dataclasses.py:627(_repr_fn)
        1    0.000    0.000    0.002    0.002 from_thread.py:1(<module>)
        1    0.000    0.000    0.002    0.002 header.py:1(<module>)
      592    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      259    0.000    0.000    0.002    0.000 typing_extensions.py:3228(_collect_parameters)
      880    0.001    0.000    0.002    0.000 contextlib.py:299(helper)
     2585    0.000    0.000    0.002    0.000 css_parser.py:317(match)
      126    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
     3549    0.001    0.000    0.002    0.000 _parser.py:293(tell)
      392    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
       39    0.000    0.000    0.002    0.000 typing.py:740(Optional)
        1    0.000    0.000    0.002    0.002 _status_codes.py:1(<module>)
      447    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
       13    0.001    0.000    0.001    0.000 __init__.py:355(namedtuple)
      879    0.001    0.000    0.001    0.000 contextlib.py:141(__exit__)
     6827    0.001    0.000    0.001    0.000 element.py:3090(descendants)
     3411    0.001    0.000    0.001    0.000 element.py:2007(is_empty_element)
      123    0.001    0.000    0.001    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.001    0.001 events.py:1(<module>)
     4323    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     7556    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      126    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.001    0.001 _headers.py:1(<module>)
     2108    0.001    0.000    0.001    0.000 typing.py:1134(_is_dunder)
     1014    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
        1    0.000    0.000    0.001    0.001 _models.py:1101(extract_cookies)
     3413    0.001    0.000    0.001    0.000 __init__.py:1068(handle_data)
